S_mw,N_units,B_mwh,G_min_mw,gas_hours_yr
0,0,0.0,65.88,8784.0
0,10,40.0,65.88,8784.0
0,20,80.0,65.88,8784.0
0,30,120.0,65.88,8784.0
0,40,160.0,65.88,8784.0
0,50,200.0,65.88,8784.0
0,60,240.0,65.88,8783.0
0,70,280.0,65.88,8783.0
0,80,320.0,65.88,8783.0
0,90,360.0,65.88,8783.0
0,100,400.0,65.88,8782.0
25,0,0.0,65.88,8784.0
25,10,40.0,65.88,8784.0
25,20,80.0,65.88,8784.0
25,30,120.0,65.88,8784.0
25,40,160.0,65.88,8784.0
25,50,200.0,65.88,8784.0
25,60,240.0,65.88,8783.0
25,70,280.0,65.88,8783.0
25,80,320.0,65.88,8783.0
25,90,360.0,65.88,8783.0
25,100,400.0,65.88,8782.0
50,0,0.0,65.88,8784.0
50,10,40.0,65.88,8784.0
50,20,80.0,65.88,8784.0
50,30,120.0,65.88,8784.0
50,40,160.0,65.88,8784.0
50,50,200.0,65.88,8784.0
50,60,240.0,65.88,8783.0
50,70,280.0,65.88,8783.0
50,80,320.0,65.88,8783.0
50,90,360.0,65.88,8783.0
50,100,400.0,65.88,8782.0
75,0,0.0,65.88,8688.0
75,10,40.0,65.88,8667.0
75,20,80.0,65.88,8665.0
75,30,120.0,65.88,8665.0
75,40,160.0,65.88,8665.0
75,50,200.0,65.88,8665.0
75,60,240.0,65.88,8664.0
75,70,280.0,65.88,8664.0
75,80,320.0,65.88,8664.0
75,90,360.0,65.88,8664.0
75,100,400.0,65.88,8663.0
100,0,0.0,65.88,8150.0
100,10,40.0,65.88,8056.0
100,20,80.0,65.88,7981.0
100,30,120.0,65.88,7959.0
100,40,160.0,65.88,7945.0
100,50,200.0,65.88,7933.0
100,60,240.0,65.88,7928.0
100,70,280.0,65.88,7928.0
100,80,320.0,65.88,7928.0
100,90,360.0,65.88,7928.0
100,100,400.0,65.88,7927.0
125,0,0.0,65.88,7706.0
125,10,40.0,65.88,7572.0
125,20,80.0,65.88,7493.0
125,30,120.0,65.88,7414.0
125,40,160.0,65.88,7384.0
125,50,200.0,65.88,7307.0
125,60,240.0,65.88,7219.0
125,70,280.0,65.88,7216.0
125,80,320.0,65.88,7213.0
125,90,360.0,65.88,7213.0
125,100,400.0,65.88,7212.0
150,0,0.0,65.88,7401.0
150,10,40.0,65.88,7303.0
150,20,80.0,65.88,7184.0
150,30,120.0,65.88,7111.0
150,40,160.0,65.88,7039.0
150,50,200.0,65.88,6942.0
150,60,240.0,65.88,6737.0
150,70,280.0,65.88,6681.0
150,80,320.0,65.88,6660.0
150,90,360.0,65.88,6646.0
150,100,400.0,65.88,6641.0
175,0,0.0,65.88,7168.0
175,10,40.0,65.88,7041.0
175,20,80.0,65.88,6941.0
175,30,120.0,65.88,6883.0
175,40,160.0,65.88,6756.0
175,50,200.0,65.88,6669.0
175,60,240.0,65.88,6384.0
175,70,280.0,65.88,6279.0
175,80,320.0,65.88,6223.0
175,90,360.0,65.88,6176.0
175,100,400.0,65.88,6139.0
200,0,0.0,65.88,6985.0
200,10,40.0,65.88,6867.0
200,20,80.0,65.88,6792.0
200,30,120.0,65.88,6731.0
200,40,160.0,65.88,6573.0
200,50,200.0,65.88,6500.0
200,60,240.0,65.88,6154.0
200,70,280.0,65.88,6005.0
200,80,320.0,65.88,5925.0
200,90,360.0,65.88,5842.0
200,100,400.0,65.88,5794.0
225,0,0.0,65.88,6853.0
225,10,40.0,65.88,6763.0
225,20,80.0,65.88,6691.0
225,30,120.0,65.88,6605.0
225,40,160.0,65.88,6452.0
225,50,200.0,65.88,6380.0
225,60,240.0,65.88,5996.0
225,70,280.0,65.88,5820.0
225,80,320.0,65.52,5735.0
225,90,360.0,65.52,5628.0
225,100,400.0,65.52,5557.0
250,0,0.0,65.88,6751.0
250,10,40.0,65.88,6667.0
250,20,80.0,65.88,6611.0
250,30,120.0,65.88,6461.0
250,40,160.0,65.88,6350.0
250,50,200.0,65.88,6275.0
250,60,240.0,65.88,5865.0
250,70,280.0,65.88,5654.0
250,80,320.0,65.52,5567.0
250,90,360.0,65.52,5449.0
250,100,400.0,65.52,5369.0
275,0,0.0,65.88,6652.0
275,10,40.0,65.88,6581.0
275,20,80.0,65.88,6511.0
275,30,120.0,65.88,6347.0
275,40,160.0,65.88,6252.0
275,50,200.0,65.88,6172.0
275,60,240.0,65.88,5742.0
275,70,280.0,65.88,5513.0
275,80,320.0,65.52,5431.0
275,90,360.0,65.52,5284.0
275,100,400.0,65.52,5205.0
300,0,0.0,65.88,6555.0
300,10,40.0,65.88,6498.0
300,20,80.0,65.88,6400.0
300,30,120.0,65.88,6254.0
300,40,160.0,65.88,6162.0
300,50,200.0,65.88,6067.0
300,60,240.0,65.88,5632.0
300,70,280.0,65.88,5380.0
300,80,320.0,65.52,5285.0
300,90,360.0,65.52,5143.0
300,100,400.0,65.52,5040.0
